Date,PRE,RHU,RS,MINTEM,MAXTEM,WIN
1957-1,1.7000000000000002,,175.50000000000003,-32.009677419354844,-21.216129032258067,1.6096774193548387
1957-2,5.699999999999999,0.6139285714285715,193.9,-31.47142857142857,-20.889285714285712,1.6500000000000001
1957-3,2.8000000000000003,0.5703225806451613,305.40000000000003,-23.083870967741937,-10.258064516129032,2.193548387096774
1957-4,19.7,0.5373333333333333,241.5,-4.8966666666666665,7.273333333333334,4.07
1957-5,22.7,0.49354838709677423,278.29999999999995,1.9322580645161291,17.138709677419357,4.138709677419355
1957-6,38.7,0.666,231.10000000000002,7.966666666666667,22.586666666666666,2.8633333333333337
1957-7,144.60000000000002,0.797741935483871,144.9,10.72258064516129,22.03548387096774,3.0161290322580645
1957-8,115.5,0.8061290322580645,179.29999999999998,9.864516129032259,19.274193548387096,3.609677419354839
1957-9,21.1,0.685,206.9,0.47666666666666674,13.116666666666667,2.36
1957-10,8.700000000000001,0.5493548387096775,230.8,-7.519354838709678,7.122580645161291,2.906451612903226
1957-11,4.5,0.629,169.39999999999998,-16.51,-4.343333333333334,2.683333333333333
1957-12,5.3,0.7935483870967742,152.4,-27.70967741935484,-17.306451612903224,1.238709677419355
1958-1,3.0,0.7429032258064516,189.29999999999998,-30.096774193548388,-19.967741935483872,1.5258064516129033
1958-2,5.0,0.7653571428571428,213.79999999999998,-26.264285714285712,-13.735714285714286,1.0035714285714286
1958-3,6.400000000000001,0.6303225806451612,265.20000000000005,-19.48709677419355,-7.851612903225806,2.9967741935483874
1958-4,29.700000000000003,0.5683333333333334,266.09999999999997,-8.276666666666667,3.23,5.086666666666668
1958-5,14.299999999999999,0.5093548387096775,340.0,1.464516129032258,16.851612903225806,4.490322580645161
1958-6,96.1,0.6739999999999999,296.4,7.78,22.660000000000004,3.55
1958-7,193.10000000000002,0.7996774193548387,210.6,12.274193548387096,22.629032258064516,3.57741935483871
1958-8,49.300000000000004,0.7838709677419355,262.90000000000003,8.938709677419356,20.961290322580645,2.793548387096774
1958-9,59.2,0.7143333333333334,196.8,2.4733333333333336,14.866666666666667,3.2233333333333336
1958-10,10.700000000000001,0.6312903225806452,226.39999999999998,-6.525806451612904,6.303225806451613,2.335483870967742
1958-11,4.0,0.6679999999999999,209.00000000000003,-16.916666666666668,-5.3133333333333335,2.2766666666666664
1958-12,13.600000000000001,0.7748387096774193,142.39999999999998,-23.193548387096776,-13.141935483870968,1.941935483870968
1959-1,2.7,0.7519354838709679,175.8,-32.35806451612903,-22.483870967741936,1.2645161290322582
1959-2,2.0,0.7560714285714286,225.4,-25.84642857142857,-14.417857142857143,1.0178571428571428
1959-3,1.2000000000000002,0.6525806451612903,276.09999999999997,-14.235483870967743,-1.7000000000000002,2.245161290322581
1959-4,2.2,0.43966666666666665,265.80000000000007,-6.046666666666667,8.28,2.9833333333333334
1959-5,9.6,0.43516129032258066,295.7,0.6967741935483871,17.538709677419355,4.125806451612903
1959-6,27.3,0.6080000000000001,283.9,7.773333333333334,23.18,2.636666666666667
1959-7,104.8,0.7406451612903227,253.4,9.858064516129033,22.835483870967742,2.7548387096774194
1959-8,64.89999999999999,0.8290322580645161,193.20000000000005,11.600000000000001,22.03548387096774,2.5
1959-9,44.099999999999994,0.7946666666666666,200.4,5.71,17.259999999999998,2.2800000000000002
1959-10,49.3,0.7496774193548388,142.3,-4.809677419354839,4.596774193548387,3.0193548387096776
1959-11,27.400000000000006,0.798,195.8,-24.573333333333334,-15.373333333333335,1.8633333333333333
1959-12,2.8000000000000003,0.7861290322580645,152.90000000000003,-31.193548387096776,-21.65483870967742,1.1161290322580646
1960-1,3.2,0.7606451612903227,170.3,-38.325806451612905,-29.183870967741935,0.44516129032258067
1960-2,4.999999999999999,0.7641379310344828,181.4,-26.637931034482758,-16.675862068965518,1.717241379310345
1960-3,9.900000000000002,0.732258064516129,255.89999999999998,-20.448387096774194,-9.403225806451612,2.8483870967741938
1960-4,1.4000000000000001,0.643,282.79999999999995,-8.47,3.58,3.75
1960-5,41.0,0.6103225806451613,,-0.7645161290322581,12.893548387096773,4.103225806451613
1960-6,23.6,0.6706666666666667,341.59999999999997,7.743333333333334,23.073333333333334,2.8800000000000003
1960-7,156.09999999999997,0.8332258064516129,238.4,12.583870967741936,23.070967741935487,3.435483870967742
1960-8,44.10000000000001,0.8248387096774193,267.4,9.161290322580646,22.690322580645162,2.0806451612903225
1960-9,55.8,0.7756666666666666,222.8,2.4,16.383333333333333,2.546666666666667
1960-10,6.000000000000001,0.5854838709677419,233.80000000000004,-7.893548387096774,7.387096774193548,3.3483870967741938
1960-11,11.0,0.7326666666666667,167.60000000000002,-19.226666666666667,-7.923333333333334,1.8333333333333333
1960-12,2.7,0.7904166666666667,185.10000000000002,-29.893548387096775,-20.151612903225807,0.532258064516129
1961-1,6.3,0.7250000000000001,181.1,-32.70645161290322,-21.87,0.767741935483871
1961-2,1.1,0.6992857142857144,217.0,-26.814285714285717,-15.071428571428571,1.0178571428571428
1961-3,3.5000000000000004,0.6355172413793103,288.1,-17.480645161290322,-3.8677419354838714,2.1129032258064515
1961-4,8.0,0.49766666666666665,285.0,-6.569999999999999,7.913333333333333,3.6033333333333335
1961-5,16.7,0.48580645161290326,291.90000000000003,0.2419354838709678,15.429032258064517,4.019354838709678
1961-6,21.500000000000004,0.5836666666666667,330.99999999999994,5.0,21.966666666666665,3.75
1961-7,95.5,0.7212903225806452,279.49999999999994,10.97741935483871,24.651612903225807,2.7838709677419353
